desc,likesCount,commentCount,viewCount,support
#trump #trum2020 #trumptrain2020,14100,182,81400,0
#stitch with @llaurenkimm #greenscreen #bidenharris2020 #election2020 #vote,168700,3605,763900,1
#trump #gaysfortrump #trumptrain2020 #dumbass,13900,586,110200,0
#brolove #funny #cnn #biden2020 #bidenharris2020 #dumptrump #chriscuomo,168400,841,953900,1
we have different faiths but i love #farrakhan fire and truth. #blm #blacklivesmatter #blmmovement #biden2020 #voteblue #bidenharris2020,168200,4511,1000000,1
maybe if i post this on #4thofjuly  it will get some more love🥺  #fyp #substepchallenge #america #trending #trump2020 #trumptrain2020 #foryoupage,13800,98,68800,0
this is philly... 🌈✨💙 #love #philadelphia #biden2020 #bidenharris2020 #foryourpage #fyp,166800,1039,632500,1
reposting my misted viewed video #trump#trump2020#trumpsquad2020 #trumptrain2020 #bidenistrash,13600,336,61300,0
#trumptrain2020 #njparkway #trumpsquad2020 #womanfortrump2020 #trumpparade2020 #trumpsupporter #,13300,0,56100,0
@christianjeppsen best roommate ever #nevertrump #voteblue #bidenharris2020 #biden2020 #biden #election2020 #election #fyp #foryoupage #fypシ,166100,1369,547200,1
trump supporter verbal abuse. monmouth oregon. #dumptrump  #trumpsupportersbelike #soawkward  #bidenharris2020 #biden #bigoton #sexist,166000,10100,1500000,1
#trump2020🇺🇸 #trumptrain2020 #conservative #prolife,13300,1513,52600,0
trump2020 #republican#maga#hesyourpresident #trumptrain2020,13200,683,130800,0
#slayerpete #petebuttigieg #stopwhiteprivilege #trumpisaracistorange #voteblue #bidenharris2020,164900,3578,1100000,1
do you get that it’s a joke?! #trudenpenris #trump2020 #bidenharris2020 #itsajoke,164900,4625,952800,1
only in utah! #trumptrain2020,13200,12,299100,0
#trump #trump2020 #maga #keepamericagreat #keepamericagreat2020 #trumptrain #trumptrain2020 #trumptrump2020 #makeamericagreatagain #trumprally,13200,801,69600,0
reply to @henrik320henrik lol 🤡🖕🏼 #voteblue #votehimout #dumptrump2020 #ridenwithbiden #bidencoalition #biden2020 #bidenharris2020 #fdt #magat,164100,3477,1100000,1
#trumpsquad2020 #trump2020 #trump4moreyears #trump2020maga #trumptrain2020,13000,1978,71700,0
#joebiden #presidentelectbiden #vicepresidentkamalaharris #biden2020 #bidenharris2020 #bidenwon #political,164000,2800,457500,1
#debate #debates #usa #vote #voteblue #biden2020 #kamala #bidenharris2020 #potus #bluewave #voting #fyp #8645 #fdt #election #politics #bodylanguage,163500,916,1100000,1
doing it again in 2020 #trump2020  #trumpsquad2020 #trumptrain2020 #trumptraindontstop #mypresident,12800,443,60700,0
making history #2020election #kamalaharris #bidenharris2020,162600,3619,663300,1
#trump #womenfortrump #womenwhosupporttrump #trumptrain2020 #trumptrain #maga #keepamericagreat #makeamericagreatagain #bidensucks,12800,519,64600,0
if he doesn’t respect you then he ain’t the one :) #gimmesometruth #strapback #feminism #girls #women #fyp #bidenharris2020,162500,2061,494400,1
#trump2020 #trump  #trumpsquad2020 #outlaw #growamullet #trumptrain2020 #trumptrain,12700,2381,28200,0
actual lunatic #fyp #foryou #foryoupage #vote2020 #democrat #voteblue #liberal #progressive #biden2020 #bidenharris2020,162400,2292,612700,1
#trumptrain2020 #smokingisbadforyou #diesel #strokinandsmokin #liberaltears,12700,266,51400,0
#biden2020 #2020election #bidenharris2020  #fyp #ub  #716 #election,161700,1308,979400,1
we both work 40hr/week day jobs & another 25+ a week on brass. check out our website! #hustle #shopsmall #hunting #precisionshooting #trumptrain2020,12500,101,81800,0
byeeeeeeee ✌🏻✌🏻 #lgbtq #bidenharris #biden2020 #bidenharris2020 #gaygirls #girlswholikegirls,160400,781,723900,1
#duet with @yahoonews #fyp #foryou #foryoupage #xyzcba #politics #trumptrain2020 #republicanhypehouse #maga #todayisamerica #republican #conservative,12500,303,159000,0
#duet with @yumpr #trumpfacts #trump2020 #trumptrain2020 #maga2020 #trumpsupporter #raisedright #merica #maga2020kag2020 #womenfortrump2020,12500,95,76600,0
you want to honor rbg? vote him out! #ruthbaderginsburg #rbg #biden2020 #bidenharris2020,159100,3322,978500,1
#biden2020 #voteblue #blacklivesmatter #postoakhotel #houston #blondetourage  #rbg #bidenharris2020,159000,6545,1400000,1
#trump2020 #trumpsnotracist #trump2020train #trumptrain2020 #trump #trumptrain #trumpsquad2020 #votefortrump #keepamericagreat #america #flag,12500,760,73300,0
#tellthemruthsentyou #voteblue #bidenharris2020 #fyp,158100,0,672100,1
#trump2020train #trumptrain2020 #trump #trumpsnotracist #trump2020 #votefortrump #jesus #doctor #millitary #hero #trumpsquad2020 #america,12400,500,56200,0
trump winning doesn’t make sense with my fantasy✨ #votehimout #voteblue #bidenharris2020 #biden #election #presidentialelection #fyp #xycba #dem #nj,157900,2461,597100,1
#megamouth #likefollowshare #conservative #12moreyears #trumptrain2020 #trump2020 #bluelivesmatter #alllivesmatter,12300,3333,30600,0
new york was alive tonight 🤩 #2020 #election #bidenharris2020 #viral #fyp #foryoupage #newyorkcity #newyork,157100,2013,701300,1
#trump2020 #conservative #republican #fyp #foryou #foryoupage #momsoftiktokover30 #momsoftiktok #trumpsquad2020 #trump2020 #trumptrain2020 #trumptrain,12300,204,70300,0
jared and ivanka threaten to sue the lincoln project. #trump #donaldtrump #biden #joebiden #bidenharris2020 #election #election2020 #vote,154600,1265,806700,1
#trump2020 #biden2020 #sleepyjoe #sleepyjoecanttalk #trumpsquad2020 #trumptrain2020 #trumptrain #fy #fyp,12200,746,61300,0
new york city’s reaction to biden being elected! #bidenharris2020 #centralpark #nyc,154400,993,595700,1
#mycostume #expressieyourself #micellarrewind #micellarrewind #micellarrewind #trump #trump2020 #trumpsquad2020 #trumptrain #trumptrain2020,12200,3636,32800,0
welcome to alexandria ocasio-cortez tiktok #aoc2024 #wewintogether #foryoupage #biden2020 #bidenharris2020 #voteblue #foryoupage #fyp #foryou,154400,1554,957500,1
#duet with @brett.tunechi #stillyopresident #fyp #trumptrain2020,12100,436,39600,0
"this is big for us, girls. to all my black queens and queens of color, we won!!!!!!!!!!! #fyp #foryoupage #2020election #bidenharris2020",153900,1689,518200,1
#trump2020 #trump #trumptrain #trumptrain2020 #vote #trumpsupporters,12100,249,36400,0
pull your fucking sassy socks up and do better #election #unwrapthedeals #biden #election2020 #biden2020 #bidenharris2020 #witchtok,150400,0,652800,1
#duet with @katelyno0 #greenscreen libtards 🤦‍♂️ #fyp #trump2020 #trumptrain2020 #fortheboys #alm,12000,1415,311100,0
#trump2020 #electionday2020 #trumppence2020 #4moreyearstrump  #joebiden #donaldtrump #makeamericagreatagain #fyp #foryou #bidenharris2020,150200,9266,708100,1
#stitch with @unsureofmyname #biden2020never #womenfortrump #trump2020 #mikepence2020 #trumpsquad2020 #trumptrain2020,12000,655,51600,0
celebration!! time for decency. #biden2020 #bluehour #txt #fyp #foryourpage #bidenharris2020,150100,2483,377200,1
when trump is your president #trump #trump2020 #biden2020 #trumptrain #trumptrain2020,11900,227,329500,0
voting for biden! central florida! #election2020 #biden2020 #bidenharris2020 #bidenflorida #bidenthevillages #affirmations,148600,6612,1100000,1
this is facts #usa #american #trumptrain #trumptrain2020 #trump2020🇺🇸 #greenscreen #trumparmy #americanboy #foryoupage #foryouu #fypppppppppppppp,11900,1210,56700,0
#bidenharris2020 #bidentownhall #allfortheratings don’t say we never did anything useful for this country. #🇺🇸,147800,2663,543000,1
"this one was funny #holidaymusic #trumptrain #trumptrain2020 ,, if you don’t agree w someone’s political views just scroll/unfollow don’t leave h8:/",11800,855,90600,0
"how they sound part 529,600 #biden #biden2020 #bidenharris2020 #byeden #byedon #joebiden #bidenharris #covid #lockdown",147100,2897,665500,1
#trump #trump2020 #trumptrain2020 #usa #republican,11600,1495,28200,0
😐 #bidenharris2020  #sat,146500,3299,452500,1
"let me know who y’all got!! please don’t argue either respect other people’s opinions, thank you!🇺🇸🇺🇸 #fyp #trump #trumptrain2020",11600,1153,33000,0
what yall wearing to the inauguration ball? #fy #foryoupage #fyp #bidenharris2020,146500,4257,1400000,1
#usastrong #trumptrain2020 #trump #trump2020 #alllivesmatter #bluelivesmatter #kidslivesmatter,11600,1022,70900,0
miss ya bud. #obama #barackkobama #biden2020 #bidenharris2020 #vote #democrat #liberal #politics #fyp,146400,1900,718200,1
can’t comment my opinion😂 #animalsdoingthings #walmart2hrexpress #alllivesmatter #backtheblue #snowflakes #trump2020 #trumptrain2020,11500,719,77300,0
yall r weird. #colorcustomizer #fyp #biden2020 #bidenharris2020 #america,145100,1223,551900,1
we love you president trump! get well soon america needs you!                #trump #loves #america #trumptrain2020,11500,499,52400,0
twitter is unmatched bro #electionday #election #vote #bidenharris2020,143700,527,407200,1
#duet with @thecountry5.0 #creepysleepyjoe #foryou #trump2020 #trumptrain2020 #facts #truth #trending,11400,14,123400,0
one more time for #bidenharris2020  #philly #bidenwon #blackwomen #americathegreat #doctorperkins,143100,3300,822500,1
bye bye 👋 #got2bstyled #xyzcba #trump #trump2020 #trumptrain2020,11400,1438,182000,0
i miss having leaders with humanity. #presidentialdebate2020 #biden2020 #presidentialdebate #bidenharris2020,143000,2208,634200,1
#kayleighmcenany corrects #fakenews #presssecretary #protests #roits #fyp #foryourpage #newsbreakingalert #trumptrain2020 #trump2020 #maga #usa,11400,287,80500,0
this man is incredibly attractive 🥴🥵 please give me your last name sir #joebiden #biden2020 #voteblue #bidenharris2020 #foryou #ctcvoicebox,142100,15000,492600,1
#foryoupage #trump2020 #trumptrain2020 #bidenlikeslittlekids,11300,918,83800,0
🤷🏼‍♀️ #biden  #trump2020 #trumpsquad2020 #donaldtrump #trumptrain2020 #tumblersoftiktok #glitter #glittertumblers #tiktokartist #tumbler #art,11200,365,62700,0
i hate this town😒 literally we got two biden’s 😭😢 #biden2020 ❤️ #joebiden #kamalaharris #bidenharris2020 #joe #biden,142000,722,388100,1
"may lose some followers over this, but just vibing with my new friends #trump2020 #trumptrain2020 #maga #potus #donaldtrump #trumpsupporter #trump",10900,269,52700,0
#nevertrump #votehimout #fyp #foryoupage #oklahoma #bidenharris2020 #joebiden #election2020 #vote #election #votes,141800,5735,497300,1
thank you to vp and dr. biden for paying your taxes 🇺🇸💙 #bidencoalition #biden2020 #voteblue #bidenharris2020 #nbachampion #baseballszn,139700,3557,1800000,1
#trumpsquad2020 #trumpsupporters #republican #trumptrain2020 #donaldtrump #patriotsfortrump 🚂🇺🇸❤️ #dganster,10900,454,43100,0
kamala & biden suddenly address the violence. #trumptrain #trump2020 #trumpsnotracist #trumpsquad2020 #trumptrain2020 #bidensniffskids #bidenfails,10700,316,66000,0
it’s the toxic masculinity for me. #bidenharris2020 #feminism #feminisme #votehimout #genderequality,139100,0,765000,1
#teamtrump2020 #trumpsquad2020 #republicanhypehouse #fyp #funnytrumpmemes #trump2020 #conservativehypehouse #trump2024ever #trumptrain2020,10700,232,117000,0
and that’s on voting #biden2020 #lgbt #lgbtqrights #blm #feminist #uselections2020 #joebiden2020 #bidenharris2020 #dumptrump2020 #fyp #foryoupage #4u,138900,2516,362700,1
#10lugthug #flatbedder #largecar #leftlaneoutlaw #donaldtrump #trump2020 ##trumptrain2020 no,10500,213,66700,0
ringo is just lightyears ahead of us #ringostarr #beatles #biden2020 #vote #bidenharris2020 #genzforbiden #thebeatles #ringo #fyp #foryou,138500,1512,504900,1
choose your character#republicanhypehouse #conservativehypehouse #trump2020 #keepamericagreat #kag #trumptrain2020 #chooseyourcharacter #megamouth,10500,374,124000,0
paws off my alt music. 🖕#fyp #hotgirlbummer #blackbear #alttiktok #bidenharris2020 #singer #musiciansoftiktok #nyc #motivationmonday #nsfw,137400,2137,511300,1
like....what even is this? 🤨 #dumptrump #biden2020 #bidenharris2020 #trump2020,135900,1863,775000,1
hop on ya’ll! making phone grips tonight 🥰 #trump2020 #trumptrain2020,10500,379,190700,0
#fyp #trump #obama #joebiden #trumptrain2020 #fy,10500,928,107500,0
#blacklivesmatter #womensrights #loveislove #fyp #bidenharris2020,135900,3829,665400,1
renewable energy #bidenharris2020 #debate2020,133800,3187,1200000,1
#nelkboys #trumptrain2020 reposting till i get famous,10400,176,63200,0
portland is feelin’ it today! #fdt #yourefired #election2020 #bidenharris2020 #portland #celebration #fyp #vibin #keepportlandweird,132800,2089,681900,1
we did a thing. #prayfortrump #trumptrain #trumptrain2020 #denvercolorado,10400,1108,436100,0
"it’s been four long years, welcome back america 💙#biden2020 #bidenharris2020 #dumptrump #presidentelectbiden #presidentelections2020 #elections",132500,1044,496000,1
#trump #trump2020 #trumpsquad2020 #trumptrain2020 #fyp,10300,159,55900,0
different #murica #kag #2ndadmendment #billofrights #foryourpage #trump2020 #fakeimpeachment #trumptrain2020 #maga #donaldtrump,10200,61,46300,0
💙 p e r i o d t 💙 😂😂 yassss #switchingthepositions #arianagrande #bidenharris2020 #trevee27 #fallfashion,132000,703,440500,1
"🏄🏻‍♂️ sherd the gnar for equality, bro 🎿 #leftist #votehimout #bidenharris2020 #fashion101",131800,569,531300,1
#fyp #forupage #trump #trump2020 #trumptrain #trumptrain2020,10100,1312,37300,0
#bidenharris2020 #biden2020 #childofimmigrants #kamalaharris #fyp #foryou @imkamalaharris,131200,2189,1500000,1
#fypシ #forypupage #fypagee #trumptrain2020 #trump2020 #kag #maga #america #foryoupage #tiktokartists #familydinner #alllivesmatter #blacklivesmatter,10000,396,75900,0
"#veteransagainsttrump #bidenharris2020 #weneedchange na na na na, na na na na, hey hey hey, goodbye! problem solved!",130600,6978,826700,1
navy seal training for all of us..god bless america!!! 🙏🏻🇺🇸 #trim p2020#trump #usa #navyseal #godblessamerica #thankyou #maga #trumptrain2020,9999,224,95600,0
#trump2020 #trumptrain2020 #hilaryclinton #red,9981,142,39700,0
love to see it 😎 #wlw #bidenharris2020 #vote #womeninpolitics #lgbtq #imjealous #fallaesthetic #4you #bitok #masc #femme #switch #strongwoman,130500,392,405600,1
part 1 🤪 #ctcvoicebox #dayinmylife #oikosonetrip #joebiden #biden2020 #voteblue #bidenharris2020 #foryou,130500,1239,464600,1
#trump2020 #foryou #trumptrain #trumptrain2020 #foryourpage,9879,677,55800,0
no😹 #fyp #left #liberal #democrat #politics #biden2020 #bidenharris2020 #bidenharris #election #republicans #dumptrump #factcheck,129900,1975,324200,1
#greenscreen #trumpsquad2020 #electionyear2020 #republicanconservative #republicanhypehouse #trumptrain2020,9797,955,64000,0
we love to see it!  #kamalaharris #bidenharris2020 #tiktokforbiden #joebiden,129200,1027,1600000,1
"where are my gun toting, trump voting, latina women at!? 🇺🇸 #latinasfortrump #trumptrain2020 #republicangirls",9805,606,68100,0
sorry gotta keep my actions pg but based on true events 😂 #ffa #onlycountrypeoplewillgetthis #trumptrain2020 #agriculture #countrymusic #foryoupage,9794,31,66000,0
just a thought! #michigan #bidenharris2020 #election2020 #politics,129200,861,465000,1
yup! i knew she was good for him🤴🏼💙👸🏼#greenscreen #bidenharris2020 #biden2020 #voteblue,129100,1770,729900,1
@christianlane06 #fyp#trump#trump2020#bidenthesniffer #trumptrain2020,9761,1314,66100,0
#trans #transrights #education #november2020 #bidenharris2020 #trump #election #fyp #foryoupage #foryou,128100,3165,247700,1
#expressieyourself ##yougotthis #micellarrewind #yellow #trump #trump2020 #trumpsquad2020 #trumptrain #trumptrain2020,9729,2934,65200,0
reply to @krew_norris vote biden-harris 🏳️‍🌈 #50states #lgbt #gaymarrige #loveislove #lovewins #lovetrumpshate #bidenharris2020 #voteblue #politics,127900,3810,412400,1
#duet with @higbycam #realtalkreallife #alllivesmatter #kag👊🇺🇸🇺🇸🇺🇸🇺🇸 #trumptrain2020,9653,140,36200,0
beau is proud 🥺 #joebiden #fyp #bidenharris2020 #2020 #election #beau #foryourpage,127800,970,607100,1
#trumptrain2020 #trump #republicanhypehouse #presidentialdebate #maga #fyp #conservativehypehouse #teamtrump2020 #fyp #trumpsquad2020,9653,217,58700,0
my dad and i when we hear #bidenharris2020 is projected on the #trumptowerchicago 😂😂 #chicagocheck #dumptrump2020 #wehatetrump #bluestate #illinois,127400,1400,607400,1
kamala harris sneaking arround doral to 2 other restaurants as to avoid #latinosfortrump #trump2020 #maga #trumptrain2020,9492,0,142000,0
tr*mp is a f@scist. end of story. #dumptrump #trumpisafascist #biden2020 #bidenharris2020 #politics #2020election #election #trump2020 #maga,127000,1385,469400,1
#trump #trump2020 #maga #maga2020 #fyp #presidenttrump #libtartds #cryforme #bigbaby #boohoo #trumptrain2020,9483,466,59900,0
#duet with @mr.jahko i wasn’t fun while it lasted #byedon2020 #bidenharris2020 #votehimout #ftrump #2020,126700,1761,779100,1
no more local channels for me!!! #trump2020 #votefraud #trending #fyp #wethepeople #trumptrain2020,9469,1622,42700,0
#duet with @brysoncreates let’s do this drop your state #trump2020 #trumpsquad2020 #trumpnation2020 #trumptrain2020 #babesfortrump,9435,5740,60800,0
the most powerful collection of images ❤️ #bidenharris2020 #kamalaharris #womenpower,125800,2134,377200,1
yes joe yess #joebiden #biden2020 #trump2020 #dumptrump2020 #voteblue #bidenharris2020 #foryou,125600,4933,367600,1
trump 2020 #donaldtrump #trumptrain2020 #maga #kag #murica #2ndadmendment #foryourpage,9415,34,54200,0
let’s zoom in on the “red” part of america. #biden2020 #bidenharris2020 #election2020 #history #election #politics,125000,1252,859400,1
the girl that said trumpet killedddd me #ootd #catchphrases #trump2020 #trump #trumptrain2020 #trumptrain #maga #trumpsquad2020,9391,110,47900,0
me on my way to vote 🖊   #fourmoreyears✊🏼 #trumptrain2020      🚂💨💨   #usausausa🇺🇸🇺🇸🇺🇸 #fyp @trumpsquad2020,9384,270,46800,0
#stitch with @badgalriyriy #election #election2020 #biden2020 #biden #harris #bidenharris2020 #joebiden,124600,1599,452300,1
#trump2020 #trumptrain2020 #tedcruz #rodrosenstein #senatehearing #fyp #foryourpage #donaldtrump #donaldtrump2020 #treasonousdemocrats,9342,162,70200,0
#election2020 #bidenharris2020 #droneshow #delaware,124300,1403,519700,1
awe shit! aubrey o’day is spilling tea y’all! #greenscreen #trumpcorruption #donjunior #ivanka #erictrump #biden2020 #bidenharris2020 #fyp,123700,1880,569500,1
#usmilitary #usa #trump2020 #trumptrain2020,9335,138,121100,0
#fyp #bidenharris2020,123400,13000,1000000,1
#teamtrump2020 #trumptrain2020 #funnytrumpvideo #trumpsquad2020 #republicanhypehouse #presidentialdebate #fypシ,9320,144,76700,0
blow it up again #repost #rnc #liberal #dumptrump #blm #maga #bidenharris2020 #smalltown #indianacheck #waitforthegreats #dadprank,122200,14700,906400,1
#kayleighmcenany #trump #trump2020 #trumptrain2020 #choochoo #fucdemocrats #2020 #fyp #foryoupage #fucpelosi,9309,205,90900,0
#trumpsquad2020 #conservativehypehouse #trump #trumptrain2020 #maga #republicanhypehouse #fypシ #trumphypehouse #trumotrain2020,9250,428,34400,0
can you tell the president of the united states and an evil villain apart? register to vote (link in bio!) #bidenharris2020 #dumptrump #vote #funny,122200,1148,426100,1
trump 2020 all day long. if you don’t like it then why are you on my page! #trumptrain2020 #trump2020 #madaboutit #mindyabusiness #geteducated #wakeup,9243,535,37900,0
come on nevada!!!! #biden2020 #bidenharris2020 #election,121600,7231,1000000,1
#doitbold #spookytreats #dialitforward #sleepyjoe #trumptrain2020 #backtheblue #merica #foryou #foryoupage #fyp,9216,509,51600,0
@veganteacher1988 // #foryoupage #fyp #fypシ #biden2020 #bidenharris2020 #biden #saturday #november #tiktokart #politicaltiktok #politics #trump,120600,3902,1000000,1
#treasonousdemocrats #rodrosenstein #hillaryclinton #senatehearing #trumptrain2020 #donaldtrump2020 #trump2020 #hawkins #fyp #foryourpage,9194,243,74900,0
if after the election was a movie ending-original trend credit to @keshaun.18 and @kokomink ! #election2020 #2020election #biden2020 #bidenharris2020,120400,496,749600,1
#stitch with @snarkymarky thank you so much for 97k!!! #trump2020 #christian #trumptrain2020 #genzfortrump,9176,2647,65800,0
#duet with @conservative_debbie.ryan thoughts and prayers... #bidenharris2020,119900,1798,937400,1
how about that hahah #dumptrump2020 #vote #voteblue2020 #fyp #bidenharris2020 #blm #vote2020,119200,753,367000,1
reply to @ashevillemike #trump #trump2020 #trumpsquad2020 #fyp #votered #trumptrain2020 #trumptraindontstop #🚂🇺🇸 #merica,9138,907,79300,0
major authoritarian vibes rn. #politics #voteblue #biden2020 #bidenharris2020 #leftist #dumptrump #progressive #liberal #saveamerica #maga #wtff,118900,3607,643900,1
sounds a bit hypocritical to me #foryoupage #trump2020 #conservative #trump #trumptrain2020 #foryou,9083,598,50200,0
"he didnt vote in 2016 but,  my proudest accomplishment is turning him blue this year. dont give up. vote blue! #bidenharris2020 #fucktrump",118100,871,626800,1
thank you all for those who treat me with love regardless of my disability #disabilitytiktok #diversevoices #trumptrain2020 #wearenotalone,9082,2030,45100,0
#greenscreenvideo he’s not wrong #fyp #foryou #presidentialdebate #biden2020 #trump #voteblue #bidenharris2020 #benshapiro,117900,1667,578000,1
#biden2020 #democrat #trumptrain2020 #donaldtrump #mypresident,9063,786,53800,0
#fyp #biden2020 #bidenharris2020,117800,8244,656700,1
#apocalypse #notlancebass #donaldtrump #trump2020 #dumptrump #trumptrain2020,9058,675,42600,0
🗿 #anime #biden #biden2020 #weeb #blackbutler #naruto #mobpsycho100 #demonslayer #animepfp #haikyuu #tokyoghoul #bidenharris2020,117400,5297,297600,1
american liberals #donaldtrump #trumptrain2020 #maga #kag #murica #2ndadmendment #foryourpage #billofrights #trump2020,9061,120,42300,0
"chapel hill, nc today! 🏳️‍🌈🇺🇸✊🏽#bidenharris2020 #biden2020 #trump #chapelhill #nc #elections",117300,1534,405000,1
#trending #trump2020 #donaldtrump #trumptrain #votetrump #trumptrain2020 #trumptrainsucks #lovetrumpshate #trump #liberal #lovetrump,9009,121,59700,0
2020 baby #donaldtrump #trumptrain2020 #maga #kag #murica #2ndadmendment #billofrights #foryourpage #trump2020 #fakeimpeachment,9006,99,52300,0
#bidenharris2020  the only member of my family who voted in support of me 🏳️‍🌈,116900,945,449600,1
"burlington, vt 📍#neonshadow #myhobby #bidenharris2020 #vote #burlington #vermont #celebrate #fucktrump #fyp #xyz #champagne",116500,1124,523700,1
lmao#trending #trump2020 #donaldtrump #trumptrain #votetrump #trumptrain2020 #trumptrainsucks #lovetrumpshate #trump #liberal #lovetrump,8970,63,47700,0
#fyb #foryou #trumptrain2020 #lilwayne,8911,430,55200,0
if they don’t do this this year i will be very sad. ￼￼#earlyvoting2020 #voteearly #bidenharris2020 #trump2020 #justvote #krispykremedonuts #freedonut,116100,345,465800,1
#stitch with @coriestoneberger y’all are awesome!#keepingitcute#texasmomma #momsunder30 #tiktokmomma #trumptrain2020 #donaltrumpchallenge #raisedright,8899,157,53400,0
i just love living in the south🤡 #biden2020 #bidenharris2020 #fucktrump #dumptrump,115700,4286,345600,1
had to use this sound 🇺🇸❤️ #fyp #foryou #foryoupage #trump2020 #trumpsquad2020 #trumptrain2020 #makeamericagreatagain #womenfortrump,8856,434,46800,0
alright y’all imma head out #biden2020 #bidenharris2020 #votehimout,115700,869,502700,1
#fyp #trump2020  #getthelook  #trump2020  #whatspoppin  #trumptrain2020,8816,156,84300,0
"we about to take that midnight train, y’all! biden will win! 💙💙💙 #election #election2020 #dumptrump #bidenharris2020 #fyp #foryoupage",115600,2969,649400,1
#foryoupageofficiall #10kfollowers #votefortrump #trumptrain2020 #commenttrump #skipforbiden,8766,2108,27700,0
one of the first good things to have happened in 2020 lmao #biden2020 #bidenharris2020,115100,3277,552500,1
if your a damn liberal shut your mouth keep on scrolling cus you aint gonna like it #makeliberalscryagain #trumptrain2020 #ourpresident,8735,315,33800,0
on our way to vote like. 💙🏳️‍🌈🇺🇸👅 dc: @parrisgoebelofficial #vote #bidenharris2020 #voteblue #royalfamily #votejoe #biden2020 #fyp #vote2020,114900,1768,565600,1
thank all of you #trending #trump2020 #donaldtrump #trumptrain #votetrump #trumptrain2020 #trumptrainsucks #lovetrumpshate #trump #liberal #lovetrump,8709,111,48300,0
#biden2020 #bidenharris2020 #joebiden #kamalaharris,114800,2530,672100,1
peace truth and justice in #chicago #lovewins #bidenharris2020 #blm✊🏻✊🏼✊🏽✊🏾✊🏿,114400,922,678200,1
huge shout out to to all my new followers! you guys are awesome! ❤️❤️❤️❤️❤️#trumptrain2020 #4moreyearstrump #fyp,8705,361,30300,0
"and michigan too, maybe if y’all mfs voted blue your water would be blue too 🙄🙄 #2020election #bidenharris2020 #nevada #michigan #fyp",114100,5100,474100,1
trump wins pennsylvania!!!! #trump2020 #trump #trumptrain2020 #trumptrain,8699,577,56300,0
#kamalaharris#aliciakeys rally #arizona #girlsonfire #politics #blackticktock￼#bidenharris2020￼tosaveamerica #bidenharris2020￼   ￼,113700,1494,514400,1
it’s ok to be a moderate conservative in this day and age. #redtrain #train #trumptrain2020 #notbiden #nochoice #conservative #conservativehypehouse,8680,574,44000,0
#greenscreen #joebiden2020 #bidenharris2020 #dontbemad it’s just #jokes unless it’s #truth #trumpsquad2020 #trump2020 #fraud,113500,2202,576500,1
lmao#trending #trump2020 #donaldtrump #trumptrain #votetrump #trumptrain2020 #trumptrainsucks #lovetrumpshate #trump #liberal #lovetrump,8636,39,45500,0
"sorry, not sorry! 😂💙 #democrat #bidenharris2020 #liberal #dumptrump2020 #fyp",113400,3374,672200,1
#trumptrain2020 #fyp #foryourpage #texas,8628,220,33400,0
#hispanicsforbiden #45against45  #bidenharris2020 #chancla,113400,7693,825600,1
#trump2020  #trumptrain2020,8573,755,398700,0
trump for prison!!!#revolution #riseup #votehimout #dumptrump2020 #vote #bidenharris2020,113200,9123,539800,1
hellll yeah #housetour #upthebeat #greenscreenvideo #keepamericagreat #upthebeat #trumptrain2020 #maga #republican #trump2020 #trumptrain #maga #texas,8522,911,77900,0
🤔 #biden2020 #bidenharris2020 #voteblue #dumptrump #nevertrump #comedyvideo #skits #politicalhumor #fyp,113000,10600,513300,1
reply to @hitm3witit #greenscreen brush up on your history #trumpsquad2020 #trump2020 #trumptrain2020 #republicanconservative #democratsareracist,8438,503,29000,0
vote vote vote! #voteblue #vote #votehimout #fdt #dumptrump #ftrump #trumpforprison2020 #byedon #bidenharris2020 #biden #genz #nov3 #saveamerica #fyp,112500,1894,479800,1
just for fun lol #fyp #trump2020 #trump #trumptrain2020 #trump,8419,0,72600,0
stopshsks #fyp #foryou #biden2020 #bidenharris2020 #democrat,112200,0,674900,1
reply to @lovelee619 ....trump 2020 #trump2020 #trumptrain2020 #fyp #foryourpage #foryou,8411,0,107100,0
#fyp #alltheway #novemberslam #haterspray #checkthisdemout #bidenharris2020 #letthemwatch #trump2020 @mamaof3andwifeof1,112100,3928,770000,1
so funny #cancelthenoise #maga #trumptrain2020 #trumptrain #republican #trumptok  #keepamericagreat #trump #trump2020 #trumppence2020,8349,298,57500,0
be truthful. #zvilley2023 #foryoupage #bidenharris2020 #dumptrump2020 #kamalaharris #joebiden #voteblue2020 #foryourpage #texasblue  #foryourpage #bi,112100,1820,569600,1
thanks for 4k #trending #trump2020 #donaldtrump #trumptrain #votetrump #trumptrain2020 #trumptrainsucks #lovetrumpshate #trump #liberal #lovetrump,8306,79,45900,0
walking to the polls like 💅🏼💙 #voteblue #bidenharris2020 #fyp #whatspoppin #foryou #heels,111800,1353,2200000,1
obamagate and more to come. stay tune. #trump2020 #trumptrain #donaldtrump #maga #kag #qanon #trumptrain2020 #trumptok,8248,368,34400,0
"#pennsylvania showing up and showing out, welcome to the party 💙✊🏽 #votes #foryoupage #fyp #relatable #election #dance #georgia #bidenharris2020",111500,2321,823700,1
lol he ain't going to win. trump 2020 💪🏼🇺🇸🦅 #trumpwillwin #trumptrain2020 #sleepyjoebiden #trumpsupporter,8217,292,54200,0
lmaooo fox news anchor. #cnn #foxnews #liberal #aoc #gaytiktok #bidenharris2020 #greenscreenvideo,110800,950,770800,1
